PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Label
22001697,longitudinal analysis of gene expression and behaviour in the hdhq150 mouse model of huntington's disease,"Giles P, Elliston L, Higgs GV, Brooks SP, Dunnett SB, Jones L.",Brain Res Bull. 2012 Jun 1;88(2-3):199-209. doi: 10.1016/j.brainresbull.2011.10.001. Epub 2011 Oct 6.,Giles P,Brain Res Bull,2012,2011/10/18,,,10.1016/j.brainresbull.2011.10.001,1
15866772,time course of gene expression of inflammatory mediators in rat lung after diesel exhaust particle exposure,"Rao KM, Ma JY, Meighan T, Barger MW, Pack D, Vallyathan V.",Environ Health Perspect. 2005 May;113(5):612-7. doi: 10.1289/ehp.7696.,Rao KM,Environ Health Perspect,2005,2005/05/04,PMC1257556,,10.1289/ehp.7696,1
26522167,estimation of kinetic parameters of transcription from temporal single-rna measurements,"Zimmer C, Häkkinen A, Ribeiro AS.",Math Biosci. 2016 Jan;271:146-53. doi: 10.1016/j.mbs.2015.10.001. Epub 2015 Oct 30.,Zimmer C,Math Biosci,2016,2015/11/03,,,10.1016/j.mbs.2015.10.001,0
25715678,dynamic changes of nuclear rna foci in proliferating dm1 cells,"Xia G, Ashizawa T.",Histochem Cell Biol. 2015 Jun;143(6):557-64. doi: 10.1007/s00418-015-1315-5. Epub 2015 Feb 26.,Xia G,Histochem Cell Biol,2015,2015/02/27,PMC4439307,NIHMS667581,10.1007/s00418-015-1315-5,0
32006306,dynamic light scattering analysis on rna associated to proteins,Bernacchi S.,Methods Mol Biol. 2020;2113:31-39. doi: 10.1007/978-1-0716-0278-2_4.,Bernacchi S,Methods Mol Biol,2020,2020/02/02,,,10.1007/978-1-0716-0278-2_4,0
17449677,"ired analysis of tar rna reveals motional coupling, long-range correlations, and a dynamical hinge","Musselman C, Al-Hashimi HM, Andricioaei I.",Biophys J. 2007 Jul 15;93(2):411-22. doi: 10.1529/biophysj.107.104620. Epub 2007 Apr 20.,Musselman C,Biophys J,2007,2007/04/24,PMC1896250,,10.1529/biophysj.107.104620,0
22996722,evaluating dynamic effects of copy number alterations on gene expression using a single transcription model,"Hsu FH, Serpedin E, Chen Y, Dougherty ER.",IEEE Trans Biomed Eng. 2012 Oct;59(10):2726-36. doi: 10.1109/TBME.2012.2208749.,Hsu FH,IEEE Trans Biomed Eng,2012,2012/09/22,,,10.1109/TBME.2012.2208749,0
29451884,a damped oscillator imposes temporal order on posterior gap gene expression in drosophila,"Verd B, Clark E, Wotton KR, Janssens H, Jiménez-Guri E, Crombach A, Jaeger J.",PLoS Biol. 2018 Feb 16;16(2):e2003174. doi: 10.1371/journal.pbio.2003174. eCollection 2018 Feb.,Verd B,PLoS Biol,2018,2018/02/17,PMC5832388,,10.1371/journal.pbio.2003174,0
30807609,correction: temporal dynamics of adenovirus 5 gene expression in normal human cells,PLOS ONE Staff.,PLoS One. 2019 Feb 26;14(2):e0213211. doi: 10.1371/journal.pone.0213211. eCollection 2019.,PLOS ONE Staff,PLoS One,2019,2019/02/27,PMC6391009,,10.1371/journal.pone.0213211,1
29729018,the role of dynamic m(6) a rna methylation in photobiology,"Robinson M, Shah P, Cui YH, He YY.",Photochem Photobiol. 2019 Jan;95(1):95-104. doi: 10.1111/php.12930. Epub 2018 May 24.,Robinson M,Photochem Photobiol,2019,2018/05/06,PMC6309319,NIHMS997692,10.1111/php.12930,0
25633245,temporal gene expression in the hippocampus and peripheral organs to endotoxin-induced systemic inflammatory response in caspase-1-deficient mice,"Mastronardi CA, Paz-Filho G, Zanoni M, Molano-González N, Arcos-Burgos M, Licinio J, Wong ML.",Neuroimmunomodulation. 2015;22(4):263-73. doi: 10.1159/000368310. Epub 2015 Jan 24.,Mastronardi CA,Neuroimmunomodulation,2015,2015/01/31,PMC4710542,NIHMS631247,10.1159/000368310,1
17222132,temporal gene-expression in escherichia coli k-12 biofilms,"Domka J, Lee J, Bansal T, Wood TK.",Environ Microbiol. 2007 Feb;9(2):332-46. doi: 10.1111/j.1462-2920.2006.01143.x.,Domka J,Environ Microbiol,2007,2007/01/16,,,10.1111/j.1462-2920.2006.01143.x,1
25487147,spatiotemporal transcriptomics reveals the evolutionary history of the endoderm germ layer,"Hashimshony T, Feder M, Levin M, Hall BK, Yanai I.",Nature. 2015 Mar 12;519(7542):219-22. doi: 10.1038/nature13996. Epub 2014 Dec 10.,Hashimshony T,Nature,2015,2014/12/10,PMC4359913,EMS60795,10.1038/nature13996,0
28558664,numerical integration methods and layout improvements in the context of dynamic rna visualization,"Shabash B, Wiese KC.",BMC Bioinformatics. 2017 May 30;18(1):282. doi: 10.1186/s12859-017-1682-0.,Shabash B,BMC Bioinformatics,2017,2017/06/01,PMC5450055,,10.1186/s12859-017-1682-0,0
17575210,spatio-temporal control of gene expression and cancer treatment using magnetic resonance imaging-guided focused ultrasound,Moonen CT.,Clin Cancer Res. 2007 Jun 15;13(12):3482-9. doi: 10.1158/1078-0432.CCR-07-0204.,Moonen CT,Clin Cancer Res,2007,2007/06/19,,,10.1158/1078-0432.CCR-07-0204,0
23762437,temporal gene expression variation associated with eyespot size plasticity in bicyclus anynana,"Oliver JC, Ramos D, Prudic KL, Monteiro A.",PLoS One. 2013 Jun 10;8(6):e65830. doi: 10.1371/journal.pone.0065830. Print 2013.,Oliver JC,PLoS One,2013,2013/06/14,PMC3677910,,10.1371/journal.pone.0065830,1
25660377,temporal dynamics of intrahost molecular evolution for a plant rna virus,"Cuevas JM, Willemsen A, Hillung J, Zwart MP, Elena SF.",Mol Biol Evol. 2015 May;32(5):1132-47. doi: 10.1093/molbev/msv028. Epub 2015 Feb 6.,Cuevas JM,Mol Biol Evol,2015,2015/02/10,,,10.1093/molbev/msv028,0
18755633,optimal classification for time-course gene expression data using functional data analysis,"Song JJ, Deng W, Lee HJ, Kwon D.",Comput Biol Chem. 2008 Dec;32(6):426-32. doi: 10.1016/j.compbiolchem.2008.07.007. Epub 2008 Jul 15.,Song JJ,Comput Biol Chem,2008,2008/08/30,,,10.1016/j.compbiolchem.2008.07.007,1
19406887,longitudinal community plasma hiv-1 rna concentrations and incidence of hiv-1 among injecting drug users: prospective cohort study,"Wood E, Kerr T, Marshall BD, Li K, Zhang R, Hogg RS, Harrigan PR, Montaner JS.",BMJ. 2009 Apr 30;338:b1649. doi: 10.1136/bmj.b1649.,Wood E,BMJ,2009,2009/05/02,PMC2675696,,10.1136/bmj.b1649,0
24267918,an efficient method for mining cross-timepoint gene regulation sequential patterns from time course gene expression datasets,"Cheng CP, Liu YC, Tsai YL, Tseng VS.",BMC Bioinformatics. 2013;14 Suppl 12(Suppl 12):S3. doi: 10.1186/1471-2105-14-S12-S3. Epub 2013 Sep 24.,Cheng CP,BMC Bioinformatics,2013,2013/11/26,PMC3848764,,10.1186/1471-2105-14-S12-S3,0
19578718,dynamic regulation of glutamic acid decarboxylase 65 gene expression in rat testis,"Liu H, Li S, Zhang Y, Yan Y, Li Y.",Acta Biochim Biophys Sin (Shanghai). 2009 Jul;41(7):545-53. doi: 10.1093/abbs/gmp043.,Liu H,Acta Biochim Biophys Sin (Shanghai),2009,2009/07/07,,,10.1093/abbs/gmp043,0
31600242,a feature selection strategy for gene expression time series experiments with hidden markov models,"Cárdenas-Ovando RA, Fernández-Figueroa EA, Rueda-Zárate HA, Noguez J, Rangel-Escareño C.",PLoS One. 2019 Oct 10;14(10):e0223183. doi: 10.1371/journal.pone.0223183. eCollection 2019.,Cárdenas-Ovando RA,PLoS One,2019,2019/10/11,PMC6786538,,10.1371/journal.pone.0223183,1
28320505,fine-tuning of gene expression dynamics by the set2-rpd3s pathway,"Lee BB, Kim JH, Kim T.",BMB Rep. 2017 Apr;50(4):162-163. doi: 10.5483/bmbrep.2017.50.4.049.,Lee BB,BMB Rep,2017,2017/03/22,PMC5437959,,10.5483/bmbrep.2017.50.4.049,0
31273443,cell wall dynamics and gene expression on soybean embryonic axes during germination,"Sangi S, Santos MLC, Alexandrino CR, Da Cunha M, Coelho FS, Ribeiro GP, Lenz D, Ballesteros H, Hemerly AS, Venâncio TM, Oliveira AEA, Grativol C.",Planta. 2019 Oct;250(4):1325-1337. doi: 10.1007/s00425-019-03231-1. Epub 2019 Jul 4.,Sangi S,Planta,2019,2019/07/06,,,10.1007/s00425-019-03231-1,1
23869057,time course of gene expression during mouse skeletal muscle hypertrophy,"Chaillou T, Lee JD, England JH, Esser KA, McCarthy JJ.",J Appl Physiol (1985). 2013 Oct 1;115(7):1065-74. doi: 10.1152/japplphysiol.00611.2013. Epub 2013 Jul 18.,Chaillou T,J Appl Physiol (1985),2013,2013/07/23,PMC3798821,,10.1152/japplphysiol.00611.2013,1
34822147,how to use the tdcor algorithm to infer gene regulatory networks from time series transcriptomic data,"Lavenus J, Lucas M.",Methods Mol Biol. 2022;2395:13-31. doi: 10.1007/978-1-0716-1816-5_2.,Lavenus J,Methods Mol Biol,2022,2021/11/25,,,10.1007/978-1-0716-1816-5_2,0
34395409,a timed off-switch for dynamic control of gene expression in corynebacterium glutamicum,"Siebert D, Altenbuchner J, Blombach B.",Front Bioeng Biotechnol. 2021 Jul 29;9:704681. doi: 10.3389/fbioe.2021.704681. eCollection 2021.,Siebert D,Front Bioeng Biotechnol,2021,2021/08/16,PMC8358305,,10.3389/fbioe.2021.704681,0
26579919,are waters around rna more than just a solvent? - an insight from molecular dynamics simulations,"Kührová P, Otyepka M, Šponer J, Banáš P.",J Chem Theory Comput. 2014 Jan 14;10(1):401-11. doi: 10.1021/ct400663s.,Kührová P,J Chem Theory Comput,2014,2015/11/19,,,10.1021/ct400663s,0
18096081,h-profile plots for the discovery and exploration of patterns in gene expression data with an application to time course data,"Pittelkow YE, Wilson SR.",BMC Bioinformatics. 2007 Dec 20;8:486. doi: 10.1186/1471-2105-8-486.,Pittelkow YE,BMC Bioinformatics,2007,2007/12/22,PMC2257978,,10.1186/1471-2105-8-486,1
21678902,the dynamic nature of rna as key to understanding riboswitch mechanisms,"Haller A, Soulière MF, Micura R.",Acc Chem Res. 2011 Dec 20;44(12):1339-48. doi: 10.1021/ar200035g. Epub 2011 Jun 16.,Haller A,Acc Chem Res,2011,2011/06/18,,,10.1021/ar200035g,0
27508230,time-course gene expression data on the transcriptional effects of aminaphtone on ecv304 endothelial cells,"Salazar G, Bellocchi C, Todoerti K, Saporiti F, Piacentini L, Scorza R, Colombo GI.",Data Brief. 2016 Jul 2;8:836-50. doi: 10.1016/j.dib.2016.06.051. eCollection 2016 Sep.,Salazar G,Data Brief,2016,2016/08/11,PMC4957571,,10.1016/j.dib.2016.06.051,1
22496591,spontaneous spatiotemporal waves of gene expression from biological clocks in the leaf,"Wenden B, Toner DL, Hodge SK, Grima R, Millar AJ.",Proc Natl Acad Sci U S A. 2012 Apr 24;109(17):6757-62. doi: 10.1073/pnas.1118814109. Epub 2012 Apr 10.,Wenden B,Proc Natl Acad Sci U S A,2012,2012/04/13,PMC3340055,,10.1073/pnas.1118814109,1
25172474,understanding complex transcriptome dynamics in schizophrenia and other neurological diseases using rna sequencing,"Wang X, Cairns MJ.",Int Rev Neurobiol. 2014;116:127-52. doi: 10.1016/B978-0-12-801105-8.00006-0.,Wang X,Int Rev Neurobiol,2014,2014/08/31,,,10.1016/B978-0-12-801105-8.00006-0,0
16520899,dynamics of intramolecular recognition: base-pairing in dna/rna near and far from equilibrium,"Bundschuh R, Gerland U.",Eur Phys J E Soft Matter. 2006 Mar;19(3):319-29. doi: 10.1140/epje/i2005-10061-3. Epub 2006 Mar 7.,Bundschuh R,Eur Phys J E Soft Matter,2006,2006/03/08,,,10.1140/epje/i2005-10061-3,0
19498091,temporal pattern of skeletal muscle gene expression following endurance exercise in alaskan sled dogs,"Brass EP, Peters MA, Hinchcliff KW, He YD, Ulrich RG.",J Appl Physiol (1985). 2009 Aug;107(2):605-12. doi: 10.1152/japplphysiol.91347.2008. Epub 2009 Jun 4.,Brass EP,J Appl Physiol (1985),2009,2009/06/06,,,10.1152/japplphysiol.91347.2008,0
30979794,the future is now: gene expression dynamics at single cell resolution,Shahan R.,Plant Cell. 2019 May;31(5):933-934. doi: 10.1105/tpc.19.00247. Epub 2019 Apr 12.,Shahan R,Plant Cell,2019,2019/04/14,PMC6533012,,10.1105/tpc.19.00247,1
31920480,differential circular rna expression profiles following spinal cord injury in rats: a temporal and experimental analysis,"Wu R, Mao S, Wang Y, Zhou S, Liu Y, Liu M, Gu X, Yu B.",Front Neurosci. 2019 Dec 10;13:1303. doi: 10.3389/fnins.2019.01303. eCollection 2019.,Wu R,Front Neurosci,2019,2020/01/11,PMC6916439,,10.3389/fnins.2019.01303,0
34831841,"spatial and temporal trends of sars-cov-2 rna from wastewater treatment plants over 6 weeks in cape town, south africa","Street R, Mathee A, Mangwana N, Dias S, Sharma JR, Ramharack P, Louw J, Reddy T, Brocker L, Surujlal-Naicker S, Berkowitz N, Malema MS, Nkambule S, Webster C, Mahlangeni N, Gelderblom H, Mdhluli M, Gray G, Muller C, Johnson R.",Int J Environ Res Public Health. 2021 Nov 17;18(22):12085. doi: 10.3390/ijerph182212085.,Street R,Int J Environ Res Public Health,2021,2021/11/27,PMC8618134,,10.3390/ijerph182212085,0
26277424,sw1pers: sliding windows and 1-persistence scoring; discovering periodicity in gene expression time series data,"Perea JA, Deckard A, Haase SB, Harer J.",BMC Bioinformatics. 2015 Aug 16;16:257. doi: 10.1186/s12859-015-0645-6.,Perea JA,BMC Bioinformatics,2015,2015/08/17,PMC4537550,,10.1186/s12859-015-0645-6,1
21175891,temporal and spatial regulation of drooping leaf gene expression that promotes midrib formation in rice,"Ohmori Y, Toriba T, Nakamura H, Ichikawa H, Hirano HY.",Plant J. 2011 Jan;65(1):77-86. doi: 10.1111/j.1365-313X.2010.04404.x. Epub 2010 Nov 29.,Ohmori Y,Plant J,2011,2010/12/24,,,10.1111/j.1365-313X.2010.04404.x,0
19488021,vaccinia virus infection & temporal analysis of virus gene expression: part 1,"Yen J, Golan R, Rubins K.",J Vis Exp. 2009 Apr 8;(26):1168. doi: 10.3791/1168.,Yen J,J Vis Exp,2009,2009/06/03,PMC2791082,,10.3791/1168,1
28409151,temporal changes in gene expression profile during mature adipocyte dedifferentiation,"Côté JA, Guénard F, Lessard J, Lapointe M, Biron S, Vohl MC, Tchernof A.",Int J Genomics. 2017;2017:5149362. doi: 10.1155/2017/5149362. Epub 2017 Mar 19.,Côté JA,Int J Genomics,2017,2017/04/15,PMC5376413,,10.1155/2017/5149362,1
19519802,homologous recombination-mediated knock-in targeting of the met1a gene for a maintenance dna methyltransferase reproducibly reveals dosage-dependent spatiotemporal gene expression in rice,"Yamauchi T, Johzuka-Hisatomi Y, Fukada-Tanaka S, Terada R, Nakamura I, Iida S.",Plant J. 2009 Oct;60(2):386-96. doi: 10.1111/j.1365-313X.2009.03947.x. Epub 2009 Jun 9.,Yamauchi T,Plant J,2009,2009/06/13,,,10.1111/j.1365-313X.2009.03947.x,1
35137185,rna modifications stabilize the tertiary structure of trnafmet by locally increasing conformational dynamics,"Biedenbänder T, de Jesus V, Schmidt-Dengler M, Helm M, Corzilius B, Fürtig B.",Nucleic Acids Res. 2022 Feb 7:gkac040. doi: 10.1093/nar/gkac040. Online ahead of print.,Biedenbänder T,Nucleic Acids Res,2022,2022/02/09,,,10.1093/nar/gkac040,0
18539382,a dynamic model for transcription elongation and sequence-dependent short pauses by rna polymerase,Xie P.,Biosystems. 2008 Sep;93(3):199-210. doi: 10.1016/j.biosystems.2008.04.013. Epub 2008 May 4.,Xie P,Biosystems,2008,2008/06/10,,,10.1016/j.biosystems.2008.04.013,0
15130923,analyzing time series gene expression data,Bar-Joseph Z.,Bioinformatics. 2004 Nov 1;20(16):2493-503. doi: 10.1093/bioinformatics/bth283. Epub 2004 May 6.,Bar-Joseph Z,Bioinformatics,2004,2004/05/08,,,10.1093/bioinformatics/bth283,1
17215170,temporal changes in gene expression in rainbow trout exposed to ethynyl estradiol,"Hook SE, Skillman AD, Small JA, Schultz IR.",Comp Biochem Physiol C Toxicol Pharmacol. 2007 Feb;145(1):73-85. doi: 10.1016/j.cbpc.2006.10.011. Epub 2006 Nov 25.,Hook SE,Comp Biochem Physiol C Toxicol Pharmacol,2007,2007/01/12,PMC1885221,NIHMS18609,10.1016/j.cbpc.2006.10.011,0
24709698,temporal gene expression kinetics for human keratinocytes exposed to hyperthermic stress,"Echchgadda I, Roth CC, Cerna CZ, Wilmink GJ.",Cells. 2013 Apr 10;2(2):224-43. doi: 10.3390/cells2020224.,Echchgadda I,Cells,2013,2014/04/09,PMC3972685,,10.3390/cells2020224,0
28237595,effect of short-term feed restriction on temporal changes in milk components and mammary lipogenic gene expression in mid-lactation holstein dairy cows,"Abdelatty AM, Iwaniuk ME, Garcia M, Moyes KM, Teter BB, Delmonte P, Kadegowda AKG, Tony MA, Mohamad FF, Erdman RA.",J Dairy Sci. 2017 May;100(5):4000-4013. doi: 10.3168/jds.2016-11130. Epub 2017 Feb 23.,Abdelatty AM,J Dairy Sci,2017,2017/02/27,,,10.3168/jds.2016-11130,0
32911493,time-series transcriptomic analysis reveals novel gene modules that control theanine biosynthesis in tea plant (camellia sinensis),"Cao H, He X, Du J, Zhang R, Chen Y, Ma Y, Chen Q, Fang C, Ho CT, Zhang S, Wan X.",PLoS One. 2020 Sep 10;15(9):e0238175. doi: 10.1371/journal.pone.0238175. eCollection 2020.,Cao H,PLoS One,2020,2020/09/10,PMC7482930,,10.1371/journal.pone.0238175,0
11456739,site-specific incorporation of nitroxide spin-labels into internal sites of the tar rna; structure-dependent dynamics of rna by epr spectroscopy,"Edwards TE, Okonogi TM, Robinson BH, Sigurdsson ST.",J Am Chem Soc. 2001 Feb 21;123(7):1527-8. doi: 10.1021/ja005649i.,Edwards TE,J Am Chem Soc,2001,2001/07/18,,,10.1021/ja005649i,0
15389485,dynamics of gene silencing by rna interference,"Raab RM, Stephanopoulos G.",Biotechnol Bioeng. 2004 Oct 5;88(1):121-32. doi: 10.1002/bit.20216.,Raab RM,Biotechnol Bioeng,2004,2004/09/25,,,10.1002/bit.20216,0
31236525,investigation of temporal and spatial heterogeneities of the immune responses to bordetella pertussis infection in the lung and spleen of mice via analysis and modeling of dynamic microarray gene expression data,"Deng N, Ramirez JC, Carey M, Miao H, Arias CA, Rice AP, Wu H.",Infect Dis Model. 2019 Jun 7;4:215-226. doi: 10.1016/j.idm.2019.06.001. eCollection 2019.,Deng N,Infect Dis Model,2019,2019/06/26,PMC6579965,,10.1016/j.idm.2019.06.001,1
31395866,integrated torc1 and pka signaling control the temporal activation of glucose-induced gene expression in yeast,"Kunkel J, Luo X, Capaldi AP.",Nat Commun. 2019 Aug 8;10(1):3558. doi: 10.1038/s41467-019-11540-y.,Kunkel J,Nat Commun,2019,2019/08/10,PMC6687784,,10.1038/s41467-019-11540-y,0
12729394,bivariate longitudinal model for the analysis of the evolution of hiv rna and cd4 cell count in hiv infection taking into account left censoring of hiv rna measures,"Thiébaut R, Jacqmin-Gadda H, Leport C, Katlama C, Costagliola D, Le Moing V, Morlat P, Chêne G; APROCO Study Grooup.",J Biopharm Stat. 2003 May;13(2):271-82. doi: 10.1081/BIP-120019271.,Thiébaut R,J Biopharm Stat,2003,2003/05/06,,,10.1081/BIP-120019271,0
30395967,surpassing limits of static rna modification analysis with dynamic nail-ms,"Reichle VF, Kaiser S, Heiss M, Hagelskamp F, Borland K, Kellner S.",Methods. 2019 Mar 1;156:91-101. doi: 10.1016/j.ymeth.2018.10.025. Epub 2018 Nov 3.,Reichle VF,Methods,2019,2018/11/06,,,10.1016/j.ymeth.2018.10.025,0
22741547,detecting sequence dependent transcriptional pauses from rna and protein number time series,"Emmert-Streib F, Häkkinen A, Ribeiro AS.",BMC Bioinformatics. 2012 Jun 28;13:152. doi: 10.1186/1471-2105-13-152.,Emmert-Streib F,BMC Bioinformatics,2012,2012/06/30,PMC3534578,,10.1186/1471-2105-13-152,0
15941831,development of a unique system for spatiotemporal and lineage-specific gene expression in mice,"Yu HM, Liu B, Chiu SY, Costantini F, Hsu W.",Proc Natl Acad Sci U S A. 2005 Jun 14;102(24):8615-20. doi: 10.1073/pnas.0500124102. Epub 2005 Jun 7.,Yu HM,Proc Natl Acad Sci U S A,2005,2005/06/09,PMC1150815,,10.1073/pnas.0500124102,0
28560279,data for the generation of rna spatiotemporal distributions and interpretation of chk1 and slbp protein depletion phenotypes during drosophila embryogenesis,"Lefebvre FA, Bouvrette LPB, Bergalet J, Lécuyer E.",Data Brief. 2017 May 13;13:28-31. doi: 10.1016/j.dib.2017.05.008. eCollection 2017 Aug.,Lefebvre FA,Data Brief,2017,2017/06/01,PMC5440278,,10.1016/j.dib.2017.05.008,0
22806132,independent alignment of rna for dynamic studies using residual dipolar couplings,"Bardaro MF Jr, Varani G.",J Biomol NMR. 2012 Sep;54(1):69-80. doi: 10.1007/s10858-012-9655-0. Epub 2012 Jul 18.,Bardaro MF Jr,J Biomol NMR,2012,2012/07/19,,,10.1007/s10858-012-9655-0,0
28939853,rsv glycoprotein and genomic rna dynamics reveal filament assembly prior to the plasma membrane,"Vanover D, Smith DV, Blanchard EL, Alonas E, Kirschman JL, Lifland AW, Zurla C, Santangelo PJ.",Nat Commun. 2017 Sep 22;8(1):667. doi: 10.1038/s41467-017-00732-z.,Vanover D,Nat Commun,2017,2017/09/24,PMC5610308,,10.1038/s41467-017-00732-z,0
28730431,protocols for molecular dynamics simulations of rna nanostructures,"Kim T, Kasprzak WK, Shapiro BA.",Methods Mol Biol. 2017;1632:33-64. doi: 10.1007/978-1-4939-7138-1_3.,Kim T,Methods Mol Biol,2017,2017/07/22,,,10.1007/978-1-4939-7138-1_3,0
19680537,model-based deconvolution of cell cycle time-series data reveals gene expression details at high resolution,"Siegal-Gaskins D, Ash JN, Crosson S.",PLoS Comput Biol. 2009 Aug;5(8):e1000460. doi: 10.1371/journal.pcbi.1000460. Epub 2009 Aug 14.,Siegal-Gaskins D,PLoS Comput Biol,2009,2009/08/15,PMC2718844,,10.1371/journal.pcbi.1000460,1
28293219,insights into dynamic polymicrobial synergy revealed by time-coursed rna-seq,"Hendrickson EL, Beck DA, Miller DP, Wang Q, Whiteley M, Lamont RJ, Hackett M.",Front Microbiol. 2017 Feb 28;8:261. doi: 10.3389/fmicb.2017.00261. eCollection 2017.,Hendrickson EL,Front Microbiol,2017,2017/03/16,PMC5329018,,10.3389/fmicb.2017.00261,1
26803450,rna editing: a contributor to neuronal dynamics in the mammalian brain,"Behm M, Öhman M.",Trends Genet. 2016 Mar;32(3):165-175. doi: 10.1016/j.tig.2015.12.005. Epub 2016 Jan 20.,Behm M,Trends Genet,2016,2016/01/25,,,10.1016/j.tig.2015.12.005,0
16881943,"health literacy, antiretroviral adherence, and hiv-rna suppression: a longitudinal perspective","Paasche-Orlow MK, Cheng DM, Palepu A, Meli S, Faber V, Samet JH.",J Gen Intern Med. 2006 Aug;21(8):835-40. doi: 10.1111/j.1525-1497.2006.00527.x.,Paasche-Orlow MK,J Gen Intern Med,2006,2006/08/03,PMC1831568,,10.1111/j.1525-1497.2006.00527.x,0
24516364,nonlinear-model-based analysis methods for time-course gene expression data,"Tian LP, Liu LZ, Wu FX.",ScientificWorldJournal. 2014 Jan 2;2014:313747. doi: 10.1155/2014/313747. eCollection 2014.,Tian LP,ScientificWorldJournal,2014,2014/02/12,PMC3910117,,10.1155/2014/313747,1
21949674,dynamic modeling of gene expression in prokaryotes: application to glucose-lactose diauxie in escherichia coli,"Albert J, Rooman M.",Syst Synth Biol. 2011 Jun;5(1-2):33-43. doi: 10.1007/s11693-011-9079-2. Epub 2011 Feb 26.,Albert J,Syst Synth Biol,2011,2011/09/28,PMC3159693,,10.1007/s11693-011-9079-2,0
24156252,temporal dynamics and transcriptional control using single-cell gene expression analysis,"Kouno T, de Hoon M, Mar JC, Tomaru Y, Kawano M, Carninci P, Suzuki H, Hayashizaki Y, Shin JW.",Genome Biol. 2013;14(10):R118. doi: 10.1186/gb-2013-14-10-r118.,Kouno T,Genome Biol,2013,2013/10/26,PMC4015031,,10.1186/gb-2013-14-10-r118,0
11306181,dynamic changes in stanniocalcin gene expression in the mouse uterus during early implantation,"Stasko SE, DiMattia GE, Wagner GF.",Mol Cell Endocrinol. 2001 Mar 28;174(1-2):145-9. doi: 10.1016/s0303-7207(00)00394-4.,Stasko SE,Mol Cell Endocrinol,2001,2001/04/18,,,10.1016/s0303-7207(00)00394-4,1
34837707,[calculation of energy for rna/rna and dna/rna duplex formation by molecular dynamics simulation],"Golyshev VM, Pyshnyi DV, Lomzov AA.",Mol Biol (Mosk). 2021 Nov-Dec;55(6):1030-1044. doi: 10.31857/S0026898421060069.,Golyshev VM,Mol Biol (Mosk),2021,2021/11/27,,,10.31857/S0026898421060069,0
34006224,gene expression and alternative splicing dynamics are perturbed in female head transcriptomes following heterospecific copulation,"Diaz F, Allan CW, Markow TA, Bono JM, Matzkin LM.",BMC Genomics. 2021 May 18;22(1):359. doi: 10.1186/s12864-021-07669-0.,Diaz F,BMC Genomics,2021,2021/05/19,PMC8132402,,10.1186/s12864-021-07669-0,1
26378100,dynamic maize responses to aphid feeding are revealed by a time series of transcriptomic and metabolomic assays,"Tzin V, Fernandez-Pozo N, Richter A, Schmelz EA, Schoettner M, Schäfer M, Ahern KR, Meihls LN, Kaur H, Huffaker A, Mori N, Degenhardt J, Mueller LA, Jander G.",Plant Physiol. 2015 Nov;169(3):1727-43. doi: 10.1104/pp.15.01039. Epub 2015 Sep 16.,Tzin V,Plant Physiol,2015,2015/09/18,PMC4634079,,10.1104/pp.15.01039,1
32713533,split t7 rna polymerase biosensors to study multiprotein interaction dynamics,"Dewey JA, Dickinson BC.",Methods Enzymol. 2020;641:413-432. doi: 10.1016/bs.mie.2020.04.047. Epub 2020 Jun 15.,Dewey JA,Methods Enzymol,2020,2020/07/28,PMC8211417,NIHMS1712556,10.1016/bs.mie.2020.04.047,0
33969989,effect of rna on morphology and dynamics of membraneless organelles,"Ranganathan S, Shakhnovich E.",J Phys Chem B. 2021 May 20;125(19):5035-5044. doi: 10.1021/acs.jpcb.1c02286. Epub 2021 May 10.,Ranganathan S,J Phys Chem B,2021,2021/05/10,,,10.1021/acs.jpcb.1c02286,0
16567408,evaluation of the dynamic structure of dsra rna from e. coli and its functional consequences,"Rolle K, Zywicki M, Wyszko E, Barciszewska MZ, Barciszewski J.",J Biochem. 2006 Mar;139(3):431-8. doi: 10.1093/jb/mvj045.,Rolle K,J Biochem,2006,2006/03/29,,,10.1093/jb/mvj045,0
29217575,spatiotemporal gene expression trajectories reveal developmental hierarchies of the human cortex,"Nowakowski TJ, Bhaduri A, Pollen AA, Alvarado B, Mostajo-Radji MA, Di Lullo E, Haeussler M, Sandoval-Espinosa C, Liu SJ, Velmeshev D, Ounadjela JR, Shuga J, Wang X, Lim DA, West JA, Leyrat AA, Kent WJ, Kriegstein AR.",Science. 2017 Dec 8;358(6368):1318-1323. doi: 10.1126/science.aap8809.,Nowakowski TJ,Science,2017,2017/12/09,PMC5991609,NIHMS964440,10.1126/science.aap8809,1
24178032,a pathogenic non-coding rna induces changes in dynamic dna methylation of ribosomal rna genes in host plants,"Martinez G, Castellano M, Tortosa M, Pallas V, Gomez G.",Nucleic Acids Res. 2014 Feb;42(3):1553-62. doi: 10.1093/nar/gkt968. Epub 2013 Oct 30.,Martinez G,Nucleic Acids Res,2014,2013/11/02,PMC3919566,,10.1093/nar/gkt968,0
